;Clade;oldest_age;youngest_age;Humerus_length;Humerus_circumference;Femur_length;Tibia_length;Fibula_length;Femur_circumference;Hindlimb_length;qeBM;citation
Aeolosaurus;Aeolosaurini;83.5;65.5;800;362;1051;754;731;486;1839;8834.057;Powell_2003
Ampelosaurus;Lirainosaurinae;71.85;70.46;621;285;828;524;524;417;1411;5255.0968;Fondevilla_etal_2018
Antarctosaurus;Colossosauria;83.5;65.5;796;327;1388;926;924;514;2351;8635.0368;Powell_2003
Bonatitan;Lithostrotia;83.5;83.5;351;157;558;375;393;241;963;1104.2784;Martinelli_et_Foriasepi_2004
Bonitasaura;Lithostrotia;85.8;84.7;985;384;1175;794;680;470;1987;9006.9486;Gallina_2011
Diamantinasaurus;Lithostrotia;100.5;89.8;700;319;795;769;885;400;2290;5612.3884;Poropat_etal_2015
Dreadnoughtus;Titanosauria;83.5;65.5;1565;796;1945;1122;1022;929;3184;62220.4624;Lacovara_etal_2014
Euhelopus;Euhelopodidae;140.68;140.68;910;242;958;690;623;387;1683;3885.8911;Mannion_etal_2019
Jainosaurus;Colossosauria;70.6;65.5;962;433;1260;825;865;528;2188;12459.6715;Wilson_2003
Ligabuesaurus;Somphospondyli;125;125;1458;495;1700;1039;1089;825;2866;29816.5738;Bonaparte_etal_2006
Lirainosaurus;Lirainosaurinae;78.5;70.46;608;247;664;410;450;245;1074;1977.9352;Fondevilla_etal_2018
Lohuecotitan;Lirainosaurinae;76.4;70.46;613;297;976;656;619;362;1120;4416.8841;Fondevilla_etal_2018
Magyarosaurus;Lithostrotia;70.6;65.5;389;163;479;312;268;175;803;704.6801;Csiki_etal_2010
Mendozasaurus;Colossosauria;91.1;87.2;1100;433;1340;857;915;446;2334;9750.467;GonzalezRiga_etal_2003
Muyelensaurus;Colossosauria;87.2;85.8;800;241;836;577;511;299;1450;2554.762;Filippi_2015
Neuquensaurus;Saltasauridae;83.5;83.5;514;261;745;422;397;325;1200;3198.5309;Zurriaguz_etal_2015
Oceanotitan;Macronaria;153.2;150.8;NA;NA;1062;746;791;446;1892;NA;Mocho_etal_2019
Saltasaurus;Saltasauridae;70.6;65.6;542;329;775;401;417;364;1230;5071.9582;Zurriaguz_etal_2015
